Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
17,04:17.2,,1,Filip Sasínek,96,AK Hodonín,Jablonec n. N.,12.3.2011
18,04:17.4,,1,Jan Pernica,81,SSK Vítkovice,Ostrava,
19,04:17.5,,9b2,Pavel Picka,85,Slavoj Pacov,Praha,15.1.2000
20,04:17.8,,1b1,David Arabasz,78,SSK Vítkovice,Ostrava,6.2.1993
21,04:17.9,,2,Bohuslav Filipovič,63,Slovan Kadaň,Praha,18.2.1978
22,09:26.4,,1,Nico Boketta,2,Atletika Jižní Město,Praha,22.2.2017
,,,,,,,,
Hala-Žáci-3000 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,08:55.8,,2,Zdeněk Mezuliáník,65,Slavoj Bruntál,Ostrava,9.2.1980
2,09:09.7,,5b1,Nicholas J. Adensam,2,AK Olomouc,Ostrava,8.2.2017
3,09:13.5,,2,Tomáš Procházka,69,Sokol Žabovřesky,Ostrava,12.2.1984
4,09:14.6,,2,Jiří Mikas,64,Slovan Liberec,Jablonec n. N.,
5,09:18.8,,2,Bohuslav Filipovič,63,Slovan Kadaň,Košice,12.2.1978
6,09:20.9,,1,Jakub Zemaník,95,Slezan Frýdek-Místek,Jablonec n. N.,7.3.2010
7,09:24.9,,6b2,Jan Vrba,72,Dynamo Pardubice,Praha,11.2.1987
8,09:25.2,,,Petr Jakob,62,Slavoj Bruntál,Ostrava,5.2.1977
9,09:26.5,,4,Michal Blažek,71,Slavoj Bruntál,Ostrava,2.2.1986
10,09:26.5,,6,Aleš Šmerda,70,Slavoj Slavkov,Jablonec n. N.,16.2.1985
11,09:26.6,,4,Petr Kupčík,70,VOKD Poruba,Ostrava,11.1.1985
12,09:27.0,,,Pavel Dudr,73,Spartak Třebíč,Ostrava,17.1.1988
13,09:27.6,,4,Pavel Greguška,71,Slovan Kadaň,Jablonec n. N.,12.2.1986
14,09:28.4,,1,Tomáš Hellmich,75,CHZ Litvínov,Ostrava,17.2.1990
15,09:29.6,,2,Petr Lochman,75,Secheza Lovosice,Ostrava,17.2.1990
16,09:30.2,,1,Petr Lukeš,92,Slezan Frýdek-Místek,Praha,3.3.2007
17,09:31.8,,1,Radek Groh,89,Dvůr Králové n. L.,Praha,28.2.2004
18,09:35.0,,2,Petr Kaminski,92,Start Havířov,Praha,3.3.2007
19,09:35.2,,1,Filip Sasínek,96,AK Hodonín,Jablonec n. N.,13.3.2011
,,,,,,,,
Hala-Žáci-60 m př.,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,8.1,,1A,Jiří Pechar,1,A.C. Sparta Praha,Praha,17.12.2016
2,8.11,,1b1,Tomáš Kratochvíl,2,Sokol České Budějovice,Praha,9.12.2017
3,8.12,,1A,Dan Bárta,98,LIAZ Jablonec n. N.,Praha,14.12.2013
4,8.12,,1,Jonáš Kolomazník,3,SK Přerov 1908,Ostrava,3.3.2018
5,8.14,,2b1,Tomáš Oberndorfer,2,Lokomotiva Břeclav,Praha,9.12.2017
6,8.15,,3b1,Samuel Lawson,2,AK Olomouc,Praha,9.12.2017
7,8.19,,1r1,Václav Sedlák,93,AK Most,Praha,13.12.2008
8,8.22,,1A,Michal  Maček ,0,SK ZŠ Jeseniova Praha ,Praha,18.2.2015
9,8.23,,1r1,Vojtěch Kupka,2,Dukla Praha,Praha,4.3.2017
10,8.24,,2A,Lukáš Svoboda,98,Spartak Vlašim,Praha,14.12.2013
11,8.25,,1r3,Tomáš Homola,95,TŽ Třinec,Ostrava,27.2.2010
12,8.25,,1r1,Michal Blažek,1,Skol Hradec Králové,Praha,17.12.2016
13,8.26,,1b1,Ivan  Zavřel,0,SK ZŠ Jeseniova Praha,Praha,28.11.2015
14,8.27,,1r3,Štěpán Schubert,3,AC Jablonec n. N.,Ostrava,3.3.2018
15,8.27,,2,Richard Šenk,4,Sokol Opava,Ostrava,3.3.2018
16,8.28,,1b1,Adam Smolka,98,Sokol Opava,Praha,21.12.2013
17,8.29,,1=A,Ondřej Honka,93,Sokol Opava,Praha,1.3.2008
18,8.3,,4,David Ježek,3,VSK Univerzita Brno,Ostrava,3.3.2018
19,8.31,,1r1,Jiří Smola,88,SK Hranice,Ostrava,
20,8.31,,2r1,Dominik  Holub,1,Sokol Kolín,Praha,17.12.2016
21,8.33,,1A,Josef Polách,90,AK Zlín,Ostrava,30.1.2005
22,8.33,,2b1,Nikolay Romanchenkov,0,AC Slovácká Slávia Uh.Hradiště,Praha,28.11.2015
23,8.34,,1A,Tomáš Kopecký,87,Start Havířov,Ostrava,
24,8.34,,1A,Jan Solfronk,90,LIAZ Jablonec n. N.,Praha,
25,8.34,,1b2,Tomáš Pulíček,97,AC Jablonec n. N.,Jablonec n. N.,8.12.2012
26,8.34,,1b2,Filip Blatník,0,TJ Sokol Hradec Králové,Praha,28.11.2015
,,,,,,,,
Hala-Žáci-4x200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:34.1,,1b1,AK Olomouc ,,,Ostrava,15.12.2018
2,01:36.6,,2b1,VSK Univerzita Brno ,,,Ostrava,4.3.2018
3,01:37.1,,2b1,AC Moravská Slavia Brno ,,,Ostrava,15.12.2018
4,01:38.1,,3b1,SSK Vítkovice ,,,Ostrava,4.3.2018
5,01:39.3,,1,Atletika Poruba ,,,Ostrava,16.12.2017
6,01:40.3,,3b1,JAC Brno ,,,Ostrava,15.12.2018
7,01:40.4,,1b3,AK Škoda Plzeň ,,,Ostrava,4.3.2018
8,01:40.5,,1b1,Sokol Kolín-atletika ,,,Praha,14.1.2018
9,01:40.9,,2b2,BYAC Brno ,,,Ostrava,4.3.2018
10,01:41.2,,4b1,Jiskra Otrokovice ,,,Ostrava,4.3.2018
11,01:41.4,,2b3,ASK Slavia Praha ,,,Ostrava,4.3.2018
12,01:41.6,,3b2,Atletika Stará Boleslav ,,,Ostrava,4.3.2018
,,,,,,,,
Hala-Žáci-4x300 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,02:36.1,,1b1,ASK Slavia Praha ,,,Praha,25.2.2016
2,02:37.1,,2b1,AK Olomouc ,,,Praha,5.3.2017
3,02:37.2,,2b1,TJ Sokol Kolín ,,,Praha,6.3.2016
4,02:37.4,,1b2,SKP Union Cheb ,,,Praha,23.2.2017
5,02:37.5,,3b1,SSK Vítkovice ,,,Praha,6.3.2016
6,02:37.6,,1b2,AK Šternberk ,,,Praha,5.3.2017
7,02:37.8,,1b1,A.C. Tepo Kladno ,,,Jablonec n. N.,1.3.2015
8,02:39.2,,4b1,Sokol Opava  ,,,Praha,6.3.2016
9,02:39.7,,1b3,A.C. Sparta Praha ,,,Praha,6.3.2016
10,02:40.7,,1b2,AC Čáslav ,,,Praha,6.3.2016
,,,,,,,,
Hala-Žáci-sedmiboj h,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,4523,,1,Jonáš Kolomazník,3,SK Přerov 1908,Praha,10.2.2018
2,4455,,1,Václav Sedlák,93,AK Most,Praha,9.2.2008
3,4443,,1,Samuel Lawson,2,AK Olomouc,Praha,11.2.2017
4,4438,,2,Ondřej Honka,93,Sokol Opava,Praha,9.2.2008
5,4432,,2,Štěpán Schubert,3,AC Jablonec n. N.,Praha,10.2.2018
6,4300,,1,Dan Bárta,98,LIAZ Jablonec n. N.,Praha,9.2.2013
7,4278,,1,Jan Trafina,99,AC Slovan Liberec,Praha,8.2.2014
8,4269,,1,Michal Říha,94,AC Pardubice,Praha,7.2.2009
9,4251,,2,Jan Kisiala,98,ASK Slavia Praha,Praha,9.2.2013
10,4243,,2,Jakub Kubíček,94,USK Praha,Praha,7.2.2009
11,4227,,1,Michal  Maček ,0,SK ZŠ Jeseniova Praha ,Praha,7.2.2015
12,4211,,1,Tomáš Moša,96,Sokol Opava,Praha,12.2.2011
13,4204,,1,Dominik  Holub,1,Sokol Kolín,Praha,13.2.2016
14,4182,,3,Richard Šenk,4,Sokol Opava,Praha,10.2.2018
15,4165,,4,Jan Raba,3,AC Pardubice,Praha,10.2.2018
16,4129,,2,Martin  Vaněk,1,SSK Vítkovice,Praha,13.2.2016
17,4127,,5,Jáchym Štancl,3,LIAZ Jablonec n. N.,Praha,10.2.2018
18,4117,,1,Jan Cícha,95,AC Slovan Liberec,Praha,13.2.2010
19,4096,,2,Jan Doležal,96,Sokol Hradec Králové,Praha,12.2.2011
20,4096,,3,Lukáš Svoboda,98,Spartak Vlašim,Praha,9.2.2013
21,4073,,3,František Wiesner,96,Atletika Chrudim,Praha,12.2.2011
22,4063,,1,Jaroslav  Vychodil ,0,AK Olomouc ,Olomouc ,24.1.2015
23,4032,,1,Michael  Urban ,97,Vodní stavby Tábor ,Praha,11.2.2012
24,4026,,3,Vojtěch Hájek,94,Slavoj Stará Boleslav,Praha,7.2.2009
,,,,,,,,
Hala-Žáci-koule 4kg,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,20.44,,1,Vladislav Tuláček,88,AK Bílina,Praha,
2,19.37,,1,Jakub  Héža,0,AK Olomouc,Olomouc,19.12.2015
3,18.59,,1,Remigius Machura,86,A.C. Sparta Praha,Praha,
4,18.2,,1,Jiří Šanda,3,Hvězda Pardubice,Ostrava,3.3.2018
5,17.89,,1,Tomáš Pecháček,89,LIAZ Jablonec n. N.,Jablonec n. N.,
6,17.78,,1,Miroslav Menc,71,DPM Rumburk,Praha,
7,17.63,,1,David Petruška,78,SSK Vítkovice,Ostrava,
8,17.47,,1,Martin Pítr,83,AK Olomouc,Olomouc,
9,17.38,,1,Lukáš Tomíček,86,LIAZ Jablonec n. N.,Jablonec n. N.,
10,17.11,,1,František Vrtělka,80,AFK Chrudim,Praha,
11,17.02,,1,Jaromír Mazgal,93,AC Syner Turnov,Jablonec n. N.,27.12.2008
12,16.96,,1,Milan Mňatinoha,95,ŠAK Chodov,Praha,18.12.2010
13,16.81,,1,Petr Hlavička,88,SK Kotlářka Praha,Praha,
14,16.74,,1,Miroslav Pohůnek,83,ŠAK Chodov,Praha,
15,16.72,,S,Jonáš Kolomazník,3,SK Přerov 1908,Praha,9.2.2018
16,16.64,,1,Martin Dlabaja,75,Lokomotiva Olomouc,Ostrava,27.1.1990
17,16.62,,1,Tomáš Skála,94,ŠAK Chodov,Praha,19.12.2009
18,16.59,,2,Michal Forejt,0,AK ŠKODA Plzeň,Praha,28.11.2015
19,16.56,,1,Tomáš Voňavka,90,A.C. Tepo Kladno,Praha,
20,16.55,,1,David  Tupý,0,BAK Bechyně,Praha,19.12.2015
21,16.5,,1,Pavel Honal,85,Slavoj Stará Boleslav,Praha,
22,16.46,,1,Vladimír Lindovský,60,TJ Valašské Meziříčí,Praha,14.12.1974
,,,,,,,,
Hala-Žáci-dálka,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.07,,1,Tomáš  Kratochvíl,2,Sokol České Budějovice,Praha,7.12.2017
2,6.86,,1,Lukáš Klíma,80,SK SŠ Brno,Ostrava,
3,6.74,,1,Pavel Bobál,65,Gottwaldov,Jablonec n. N.,23.2.1980
4,6.7,,1,Jiří Mezihorák,65,TJ Vítkovice,Ostrava,9.2.1980
5,6.67,,1,Roman Horák,82,TJ Nový Jičín,Ostrava,13.2.1997
6,6.67,,1,Lukáš Patera,86,AC Pardubice,Praha,
7,6.66,,1,Drahomír Pořízek,78,Sokol Hradec Králové,Praha,
8,6.65,,1,Jakub Kunt,1,AC Sl. Sl. Uh. Hradiště,Ostrava,17.12.2016
9,6.6,,4,Robert Změlík,69,TJ Vítkovice,Ostrava,11.2.1984
10,6.6,,1,Marek Majer,93,VSK Univerzita Brno,Praha,13.12.2008
11,6.6,,1,Jan Jirásek,0,SK Kotlářka Praha,Praha,6.12.2014
12,6.59,,1,Jan Smutný,80,Spartak Vlašim,Praha,
13,6.58,,1,Jiří Sýkora,95,Spartak Třebíč,Praha,18.12.2010
14,6.58,,1,Filip Navrátil,97,AK AHA Vyškov,Ostrava,25.2.2012
15,6.58,,1,Dominik  Holub,1,Sokol Kolín,Praha,12.2.2016
16,6.58,,2,Samuel Lawson,2,AK Olomouc,Praha,5.3.2017
17,6.56,,1,Jan Syrovátko,85,DC ZŠ Ostroměř,Jablonec n. N.,26.2.2000
18,6.51,,1,David Jodl,3,Sokol České Budějovice,Ostrava,3.3.2018
19,6.5,,2,Václav Hrubeš,62,Dynamo Pardubice,Jablonec n. N.,6.3.1977
20,6.5,,1,Filip  Bárta,0,Sokol České Budějovice,Praha,28.11.2015
21,6.49,,1,Tomáš Nevtípil,90,AK Olomouc,Olomouc,
22,6.56,,1,Martin Říčař,91,SK Čéč. Č. Budějovice,Č. Budějovice,2.4.2006
,,,,,,,,
Hala-Žáci-tyč,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,4.5,,1,Jan Žalud,77,USK Praha,Praha,
2,4.45,,1,Pavel Beran,76,USK Praha,Cottbus,
3,4.4,,2,Jan Dočkal,85,ŠAK Chodov,Praha,19.2.2000
4,4.35,,1,Dan Bárta,98,LIAZ Jablonec n. N.,Praha,21.12.2013
5,4.35,,3,Jakub Vítek,1,Sokol Kolín,Praha,14.12.2016
6,4.3,,1,Jiří Svoboda,68,Lokomotiva Olomouc,Ostrava,12.2.1983
7,4.2,,2,Adam Kosniovský,76,USK Praha,Praha,
8,4.2,,2,Adam Ptáček,80,VOKD Poruba,Opava,11.3.1995
9,4.2,,1,Filip  Bartoněk,0,ŠAK Novoborská Praha,Praha,28.11.2015
10,4.2,,2,Jindřich  Semotam,0,Sokol Kolín,Praha,28.11.2015
11,4.1,,3,Radek Výtisk,86,SSK Vítkovice,Praha,
12,4.1,,1,Jan Vostrovský,1,Atletika Chrudim,Praha,17.12.2016
13,4.05,,1,Luboš Vávra,62,Slavia VŠ Praha,Praha,
14,4.05,,1,Ladislav Švík,64,LIAZ Jablonec n. N.,Jablonec n. N.,20.1.1979
15,4.05,,1,Miroslav Telecký,83,LIAZ Jablonec n. N.,Jablonec n. N.,
16,4.05,,1,Jan  Rotter ,99,USK Praha,Praha,13.12.2014
17,4.01,,1,Ondřej Honka,93,Sokol Opava,Praha,13.12.2008
18,4,,1,Lukáš Doskočil,88,AC Spartak Choceň,Praha,
19,4,,2,Jan Kudlička,88,Sokol Opava,Praha,
20,4,,3,Robert Kučera,88,SK Spartak Praha 4,Praha,
21,4,,1,David Seifert,95,Sokol Kolín,Jablonec n. N.,
22,4,,1,David Fischer,95,LIAZ Jablonec n. N.,Jablonec n. N.,
23,4,,1,Vojtěch Kloud,2,Sokol Hradec Králové,Praha,9.12.2017
24,4,,S,Jáchym Štancl,3,LIAZ Jablonec n. N.,Praha,10.2.2018
,,,,,,,,
Hala-Žáci-výška,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,2.04,,2,Lukáš Klíma,80,SK SŠ Brno,Jablonec n. N.,
2,2.02,,1,Tomáš Marianek,90,ASK Slavia Praha,Praha,
3,2.01,,1,Daniel Kolenčík,86,ACP Junior Brno,Hustopeče,13.1.2001
4,2,,1,Jiří Viktorín,73,Škoda Č. Budějovice,Dobříš,
5,1.98,,2,Jiří Křehula,82,SK SŠ Brno,Brno,
6,1.98,,1,Tomáš Herman,85,LK ZŠ Mokrá,Jablonec n. N.,26.2.2000
7,1.97,,1,Stanislav Bort,67,Bohemians ČKD Praha,Český Brod,13.2.1982
8,1.97,,1,Jakub Genža,81,AK Zlín,Ostrava,25.2.1996
9,1.96,,1,Petr Budín,63,AŠ Mladá Boleslav,Jablonec n. N.,
10,1.96,,1,Tadeáš Vojtěch Hacuš,0,LIAZ Jablonec n. N.,Praha,28.11.2015
11,1.96,,1,Tomáš  Kratochvíl,2,Sokol České Budějovice,Praha,5.3.2017
12,1.95,,6,Adam Ptáček,80,VOKD Poruba,Jablonec n. N.,
13,1.94,,1,Jan Halouska,64,Dynamo ZČE Plzeň,Jablonec n. N.,17.2.1979
14,1.94,,1,Michal Moucha,75,Slavia IPS Praha,Praha,
15,1.94,,1,Richard Domitrek,77,USK Praha,Praha,
16,1.94,,1,Jaroslav Kalabza,80,T&F Pardubice,Praha,
17,1.94,,1,Jiří Malec,88,LIAZ Jablonec n. N.,Praha,
18,1.94,,1,Jiří Kovář,88,ŠSK Morav. Nová Ves,Tišnov,
19,1.94,,1,Michal Bureš,90,BYAC Brno,Brno,
20,1.94,,1,Filip Navrátil,97,AK AHA Vyškov,Brno,18.12.2012
21,1.94,,1,Ondřej Vodák,98,Lokomotiva Břeclav,Praha,21.12.2013
,,,,,,,,
Hala-Žáci-chůze 3000m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,13:24.9,,1,Jaroslav Hunčík,62,TŽ Třinec,Ostrava,30.12.1977
2,13:49.1,,1,Jiří Chaloupka,85,Sokol Nová Paka,Jablonec n. N.,27.2.2000
3,14:32.6,,1,Pavel Svoboda,80,SK Lokomotiva Děčín,Ostrava,26.2.1995
4,14:44.6,,1,Tomáš Gdula,97,Hvězda SKP Pardubice,Praha,12.2.2012
5,14:52.2,,1,Filip Srbecký,99,TJ Rumburk,Jablonec n. N.,27.12.2014
6,15:07.2,,2,Martin Galamboš,80,Sigma Hodonín,Ostrava,26.2.1995
7,15:08.8,,2,Jakub Macek,86,LIAZ Jablonec n. N.,Jablonec n. N.,13.2.2001
8,15:12.2,,1,Matyáš Gajdoš,0,TJ Rumburk,Jablonec n. N.,11.1.2014
9,15:14.2,,1,Pavel Slavík,78,AŠ Mladá Boleslav,Praha,5.12.1993
10,15:22.1,,1,Adam Zajíček,3,Atletika Poruba,Ostrava,14.1.2018
11,15:37.9,,1,Jiří Malysa,91,SK Prestar Opava,Praha,27.2.2005
12,15:50.8,,,Marek Hlobeň,77,Lokomotiva Č. Lípa,Jablonec n. N.,17.3.1991
13,15:51.8,,3,Petr Vaňátka,85,AC Pardubice,Jablonec n. N.,27.2.2000
14,15:55.8,,4,Zdeněk Viker,85,ŠSK 5. ZŠ Jablonec n. N.,Jablonec n. N.,27.2.2000
15,15:58.8,,4,Alexandr Malysa,97,Sokol Opava,Olomouc,21.1.2012
16,15:59.0,,1,Jan Švejda,1,Atletika Jižní Město,Jablonec n. N.,27.2.2000
,,,,,,,,
Hala-Ženy-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.23,,1,Klára Seidlová,94,USK Praha,Praha,17.2.2018
2,7.24,,1,Kateřina Čechová,88,PSK Olymp Praha,Praha,16.2.2013
3,7.27,,1A,Zdeňka Mušínská,57,A.C. Sparta Praha,Jablonec n. N.,27.1.1996
4,7.29,,2,Barbora Procházková,91,USK Praha,Praha,25.2.2017
5,7.3,,1A,Jarmila Kratochvílová,51,VŠ Praha,Jablonec n. N.,7.2.1981
6,7.31,,2A,Štěpánka Sokolová,58,RH Praha,Jablonec n. N.,12.2.1983
7,7.31,,1,Iveta Mazáčová,86,USK Praha,Praha,15.2.2014
8,7.32,,1,Renata Kubalová,65,TJ Vítkovice,Jablonec n. N.,2.2.1991
9,7.33,,1A,Taťána Kocembová,62,TJ Vítkovice,Jablonec n. N.,19.2.1983
10,7.33,,2,Erika Suchovská,67,AK Zlín,Ostrava,29.1.1998
11,7.34,,5s1,Monika Špičková,67,Bohemians ČKD Praha,Glasgow,3.3.1990
12,7.36,,3,Hana Benešová,75,Slavoj Čáslav,Wien,6.2.1994
13,7.36,,1,Petra Urbánková,91,SSK Vítkovice,Praha,21.2.2015
14,7.39,,2,Marcela Pírková,96,USK Praha,Praha,17.2.2018
15,7.41,,1,Štěpánka Klapáčová,78,USK Praha,Praha,24.2.2007
16,7.42,,2A,Radislava Šoborová,59,VŠ Praha,Jablonec n. N.,19.2.1983
17,7.42,,1,Pavlína Vostatková,74,PSK Olymp Praha,Jablonec n. N.,24.1.1998
18,7.44,,1,Pavlína Dlouhá,73,A.C. Sparta Praha,Bratislava,15.2.2000
19,7.44,,3,Denisa Rosolová,86,SSK Vítkovice,Praha,19.2.2011
20,7.45,,1r2,Helena Syručková,65,VŠ Praha,Jablonec n. N.,9.2.1985
21,7.46,,3,Kristina Bažatová,84,USK Praha,Praha,21.2.2009
22,7.46,,1,Veronika Paličková,97,AK Hodonín,Praha,23.2.2013
23,7.46,,2r1,Jana Slaninová,90,SSK Vítkovice,Ostrava,16.2.2016
,,,,,,,,
Hala-Ženy-200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,22.76,,1b.,Jarmila Kratochvílová,51,VŠ Praha,Wien,28.1.1981
2,22.96,,1,Taťána Kocembová,62,TJ Vítkovice,Budapest,3.2.1984
3,23.15,,1b2,Hana Benešová,75,AC Čáslav,Wien,15.2.1997
4,23.16,,2A,Erika Suchovská,67,ACP Brno,Stockholm,10.3.1996
5,23.43,,1,Denisa Rosolová,86,USK Praha,Praha,16.2.2014
6,23.71,,2,Zuzana Hejnová,86,Dukla Praha,Praha,17.2.2013
7,23.73,,3r5,Renata Kubalová,65,TJ Vítkovice,Sevilla,9.3.1991
8,23.79,,1,Monika Špičková,67,Bohemians ČKD Praha,Athinai,10.2.1990
9,23.81,,1b1,Jitka Burianová,77,PSK Olymp Praha,Praha,8.2.2000
10,23.81,,1,Alena Symerská,96,AK Kroměříž,Praha,18.2.2018
11,23.82,,1b2,Štěpánka Klapáčová,78,USK Praha,Wien,3.2.2002
12,23.86,,2,Barbora Dvořáková,97,Dukla Praha,Praha,26.2.2017
13,23.87,,2b2,Štěpánka Sokolová,58,RH Praha,Stuttgart,3.2.1984
14,23.89,,3,Barbora Procházková,91,USK Praha,Praha,17.2.2013
15,23.9,,1b1,Alena Bulířová,61,LIAZ Jablonec n. N.,Budapest,19.2.1985
16,23.96,,2,Jana Slaninová,90,SSK Vítkovice,Praha,18.2.2018
17,23.98,,1b3,Marcela Pírková,96,USK Praha,Linz,10.2.2018
18,24.03,,1A,Naděžda Koštovalová,71,PSK Olymp Praha,Praha,26.2.1995
19,24.03,,1,Kateřina Čechová,88,PSK Olymp Praha,Praha,28.2.2010
20,24.06,,1A,Helena Fuchsová,65,PSK Olymp Praha,Praha,13.2.2000
21,24.06,,1b1,Barbora Šplechtnová,2,PSK Olymp Praha,Praha,3.2.2019
22,24.07,,4,Jitka Bartoničková,85,ASK Slavia Praha,Praha,16.2.2014
23,24.12,,1A,Lenka Ficková,82,ŠAK Chrudim,Praha,20.2.2000
24,24.12,,1r2,Kateřina Vávrová,98,AC Sl. Sl. Uh. Hradiště,Praha,26.2.2017
25,24.12,,1b1,Lada  Vondrová,99,Hvězda Pardubice,Praha,3.2.2019
,,,,,,,,
Hala-Ženy-400 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,49.59,,1,Jarmila Kratochvílová,51,VŠ Praha,Milano,7.3.1982
2,49.76,,1b3,Taťána Kocembová,62,TJ Vítkovice,Wien,2.2.1984
3,50.99,,2,Helena Fuchsová,65,PSK Olymp Praha,Liévin,22.2.1998
4,51.27,,2s2,Zuzana Hejnová,86,Dukla Praha,Göteborg,2.3.2013
5,51.73,,1,Denisa Rosolová,86,SSK Vítkovice,Paris,5.3.2011
6,52.08,,1A,Erika Suchovská,67,ACP Plusssz Brno,Praha,25.2.1996
7,52.12,,1A,Hana Benešová,75,AC Čáslav,Praha,23.2.1997
8,52.38,,1b1,Alena Bulířová,61,LIAZ Jablonec n. N.,Budapest,20.2.1985
9,52.51,,1A,Jitka Burianová,77,PSK Olymp Praha,Praha,13.2.2000
10,52.7,,1b1,Naděžda Koštovalová,71,PSK Olymp Praha,Wien,18.2.1995
11,52.74,,1b2,Milena Matějkovičová,61,VŠ Praha,Sindelfingen,1.2.1984
12,52.95,,1b1,Lada  Vondrová,99,Hvězda Pardubice,Praha,10.2.2018
13,53.24,,3b2,Ludmila Formanová,74,AC Čáslav,Budapest,28.1.1996
14,53.37,,2b2,Zuzana Bergrová,84,USK Praha,Wien,16.2.2010
15,53.52,,3b3,Jitka Bartoničková,85,ASK Slavia Praha,Wien,8.2.2014
16,53.64,,1,Martina Hofmanová,95,USK Praha,Praha,18.2.2018
17,53.67,,2,Marcela Pírková,96,USK Praha,Praha,18.2.2018
18,53.72,,1b1,Tereza Petržilková,93,AK Škoda Plzeň,Praha,2.2.2019
19,53.73,,2,Lenka Masná,85,PSK Olymp Praha,Praha,26.2.2012
20,53.91,,2b1,Zdeňka Seidlová,97,Sokol Kolín,Praha,10.2.2018
21,53.94,,2,Helena  Jiranová ,95,Sokol Kolín,Praha,22.2.2015
22,54.06,,3A,Denisa Obdržálková,74,USK Praha,Praha,26.2.1995
23,54.16,,1,Marcela Pírková,96,AK Olymp Brno,Praha,26.2.2017
24,54.2,,2,Barbora  Malíková,1,TJ Sokol Opava,Praha,26.2.2017
25,54.23,,3A,Tereza Žížalová,81,PSK Olymp Praha,Praha,18.2.2001
26,54,,1,Zuzana Moravčíková,56,VŠ Praha,Praha,30.1.1983
27,53.85,,3A,Alena Pekárková,64,LIAZ Jablonec n. N.,Jablonec n. N.,20.2.1983
,,,,,,,,
Hala-Ženy-800 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:56.9,,1,Ludmila Formanová,74,AC Čáslav,Maebashi,7.3.1999
2,01:58.4,,3,Helena Fuchsová,65,PSK Olymp Praha,Liévin,25.2.2001
3,01:59.2,,1,Milena Strnadová,61,VŠ Praha,Praha,26.1.1986
4,02:01.3,,3r3,Lenka Masná,85,ACP Olymp Brno,Sopot,7.3.2014
5,02:01.5,,2,Zuzana Moravčíková,56,VŠ Praha,Budapest,5.2.1983
6,02:01.9,,2,Eva Kasalová,76,PSK Olymp Praha,Praha,15.2.1998
7,2:02.85y,,1,Jarmila Kratochvílová,51,VŠ Praha,Los Angeles,20.1.1984
8,02:02.2,,1,Dana Šatrová,86,USK Praha,Leipzig,1.2.2009
9,02:02.7,,1b2,Diana Mezuliáníková,92,PSK Olymp Praha,Wien,28.1.2017
10,02:03.0,,5,Ivana Kleinová,62,VŠ Praha,Budapest,4.2.1984
11,02:03.1,,6,Jana Červenková,55,VŠ Praha,Budapest,4.2.1984
12,02:03.4,,1,Andrea Šuldesová,75,USK Praha,Praha,22.2.2004
13,02:03.4,,7,Zuzana Hejnová,86,Dukla Praha,Glasgow,20.2.2016
14,02:03.5,,4b2,Petra Lochmanová,80,SK N. Město n. Met.,Wien,31.1.2006
15,02:03.9,,1,Kateřina Hálová,81,AK Zlín,Praha,26.2.2017
16,02:04.2,,1,Renata Hoppová,76,Sokol Kolín,Erfurt,1.2.2002
17,02:04.3,,1,Veronika Mráčková,82,ŠAK SG Jablonec n. N.,Praha,7.2.2010
18,02:04.3,,4,Tereza Čapková,87,USK Praha,Metz,25.2.2011
19,02:04.5,,5,Alena  Ulrichová,94,USK Praha,Linz,12.2.2016
20,02:05.4,,1b1,Simona Vrzalová,88,SSK Vítkovice,Ostrava,24.1.2019
21,02:05.5,,5,Petra Pokorná,66,VŠ Praha,Moskva,26.2.1989
22,01:58.3,,1,Jarmila Kratochvílová,51,VŠ Praha,Jablonec n. N.,12.2.1983
,,,,,,,,
